Method	dataset	nl	ei1	ei2	fp	fn	merge	rf
Astral	50	26	23	23	16	16	Astral50	0.695652174
svd	50	26	5	23	23	5	svd50	1
svd	50	26	23	23	15	15	svd50	0.652173913
svd	50	26	23	23	16	16	svd50	0.695652174
svd	50	26	23	23	9	9	svd50	0.391304348
svd	50	26	23	23	12	12	svd50	0.52173913
svd	50	26	23	23	15	15	svd50	0.652173913
svd	50	26	5	23	23	5	svd50	1
svd	50	26	23	23	18	18	svd50	0.782608696
out_final	50	26	19	23	15	11	out_final50	0.619047619
out_final	50	26	20	23	4	1	out_final50	0.11627907
out_final	50	26	22	23	5	4	out_final50	0.2
out_final	50	26	21	23	2	0	out_final50	0.045454545
out_final	50	26	23	23	1	1	out_final50	0.043478261
out_final	50	26	23	23	2	2	out_final50	0.086956522
out_final	50	26	20	23	11	8	out_final50	0.441860465
out_final	50	26	22	23	4	3	out_final50	0.155555556
Astral	50	26	23	23	12	12	Astral50	0.52173913
Astral	50	26	23	23	23	23	Astral50	1
Astral	50	26	23	23	11	11	Astral50	0.47826087
Astral	50	26	23	23	8	8	Astral50	0.347826087
Astral	50	26	23	23	11	11	Astral50	0.47826087
Astral	50	26	23	23	12	12	Astral50	0.52173913
Astral	50	26	23	23	11	11	Astral50	0.47826087
Astral	50	26	23	23	17	17	Astral50	0.739130435
Astral	50	26	23	23	23	23	Astral50	1
svd	50	26	23	23	13	13	svd50	0.565217391
svd	50	26	5	23	23	5	svd50	1
svd	50	26	23	23	15	15	svd50	0.652173913
svd	50	26	23	23	13	13	svd50	0.565217391
svd	50	26	23	23	12	12	svd50	0.52173913
svd	50	26	23	23	10	10	svd50	0.434782609
svd	50	26	23	23	12	12	svd50	0.52173913
svd	50	26	23	23	15	15	svd50	0.652173913
svd	50	26	5	23	23	5	svd50	1
out_final	50	26	23	23	3	3	out_final50	0.130434783
out_final	50	26	19	23	15	11	out_final50	0.619047619
out_final	50	26	20	23	4	1	out_final50	0.11627907
out_final	50	26	22	23	2	1	out_final50	0.066666667
out_final	50	26	23	23	1	1	out_final50	0.043478261
out_final	50	26	22	23	3	2	out_final50	0.111111111
out_final	50	26	21	23	2	0	out_final50	0.045454545
out_final	50	26	23	23	2	2	out_final50	0.086956522
out_final	50	26	20	23	11	8	out_final50	0.441860465
Astral	250	26	23	23	23	23	Astral250	1
Astral	250	26	23	23	9	9	Astral250	0.391304348
Astral	250	26	23	23	13	13	Astral250	0.565217391
Astral	250	26	23	23	4	4	Astral250	0.173913043
Astral	250	26	23	23	7	7	Astral250	0.304347826
Astral	250	26	23	23	9	9	Astral250	0.391304348
Astral	250	26	23	23	23	23	Astral250	1
Astral	250	26	23	23	13	13	Astral250	0.565217391
svd	250	26	23	23	16	16	svd250	0.695652174
svd	250	26	23	23	10	10	svd250	0.434782609
svd	250	26	23	23	8	8	svd250	0.347826087
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	7	7	svd250	0.304347826
svd	250	26	23	23	8	8	svd250	0.347826087
svd	250	26	23	23	15	15	svd250	0.652173913
svd	250	26	23	23	12	12	svd250	0.52173913
out_final	250	26	19	23	15	11	out_final250	0.619047619
out_final	250	26	20	23	4	1	out_final250	0.11627907
out_final	250	26	22	23	5	4	out_final250	0.2
out_final	250	26	21	23	2	0	out_final250	0.045454545
out_final	250	26	23	23	1	1	out_final250	0.043478261
out_final	250	26	23	23	2	2	out_final250	0.086956522
out_final	250	26	20	23	11	8	out_final250	0.441860465
out_final	250	26	22	23	4	3	out_final250	0.155555556
Astral	250	26	23	23	7	7	Astral250	0.304347826
Astral	250	26	23	23	23	23	Astral250	1
