Method	dataset	Threshold	Method_Threshold	nl	ei1	ei2	fp	fn	data	rf
Astral	250	_4	Astral_4	26	23	23	9	9	Astral250_4	0.391304348
Astral	250	_4	Astral_4	26	23	23	12	12	Astral250_4	0.52173913
Astral	250	_4	Astral_4	26	23	23	8	8	Astral250_4	0.347826087
Astral	250	_4	Astral_4	7	4	4	4	4	Astral250_4	1
svd	250	_4	svd_4	26	23	23	7	7	svd250_4	0.304347826
svd	250	_4	svd_4	26	23	23	6	6	svd250_4	0.260869565
svd	250	_4	svd_4	26	23	23	6	6	svd250_4	0.260869565
svd	250	_4	svd_4	26	23	23	5	5	svd250_4	0.217391304
svd	250	_4	svd_4	26	23	23	11	11	svd250_4	0.47826087
out_final	250	_4	out_final_4	26	19	23	13	9	out_final250_4	0.523809524
out_final	250	_4	out_final_4	26	18	23	10	5	out_final250_4	0.365853659
out_final	250	_4	out_final_4	16	11	13	4	2	out_final250_4	0.25
out_final	250	_4	out_final_4	26	22	23	9	8	out_final250_4	0.377777778
out_final	250	_4	out_final_4	7	3	4	4	3	out_final250_4	1
